PRICE_ID,PRICE_SOURCE_ID,MATERIAL_ID,PLANT_ID,VENDOR_ID,PURCHASING_GROUP,PURCHASING_DOCUMENT,LOCAL_CONTENT,PROJECT_ID,CUSTOMER_ID,VALID_FROM,VALID_TO,VALID_FROM_QUANTITY,VALID_TO_QUANTITY,PRICE_FIXED_PORTION,PRICE_VARIABLE_PORTION,TRANSACTION_CURRENCY_ID,PRICE_UNIT,PRICE_UNIT_UOM_ID,IS_PRICE_SPLIT_ACTIVE,IS_PREFERRED_VENDOR,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY,_VALID_FROM_FIRST_VERSION,_CREATED_BY_FIRST_VERSION
050000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-110,#PT1,*,,,,*,*,2015-01-01,2999-12-31,1,,0,10,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
060000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-120,#PT1,*,,,,*,*,2015-01-01,2999-12-31,1,,0,10,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
070000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-130,#PT1,*,,,,*,*,2015-01-01,2999-12-31,1,,0,10,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
080000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-210,#PT1,*,,,,*,*,2015-01-01,2018-12-31,1,,0,20,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
090000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-210,#PT1,*,,,,*,*,2019-01-01,2019-12-31,1,,0,22,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0A0000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-210,#PT1,*,,,,*,*,2020-01-01,2020-12-31,1,,0,24,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0B0000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-210,#PT1,*,,,,*,*,2021-01-01,2021-12-31,1,,0,26,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0C0000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-310,#PT1,*,,,,*,*,2015-01-01,2999-12-31,1,,0,3,EUR,10,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0D0000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-110,#PT2,*,,,,*,*,2015-01-01,2999-12-31,1,,0,15,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0E0000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-120,#PT2,*,,,,*,*,2015-01-01,2999-12-31,1,,0,20,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0F0000E0E1C25E681600A4009F3F83A2,PLC_STANDARD_PRICE,#100-130,#PT2,*,,,,*,*,2015-01-01,2999-12-31,1,,0,20,EUR,1,PC,0,0,2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
