ACCOUNT_ID,CONTROLLING_AREA_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#AC11,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC12,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC13,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC21,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC22,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC23,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC31,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC32,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC33,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC41,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC42,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC11,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC12,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC13,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC10,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC14,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC15,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC16,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC17,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC18,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC19,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC21,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC22,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC23,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC24,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC25,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC26,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC31,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC32,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC33,#CA2,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC01,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC02,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC03,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC04,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC05,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC06,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC07,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC08,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC09,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC10,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC11,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC12,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC13,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC14,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC15,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC16,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC17,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC18,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC19,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC20,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC21,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC22,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC23,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC24,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC25,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC26,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC27,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC28,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC29,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC30,#CA3,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#AC50,#CA1,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
