LAYOUT_ID,DISPLAY_ORDER,PATH,BUSINESS_OBJECT,COLUMN_ID,COSTING_SHEET_ROW_ID,COST_COMPONENT_ID,COLUMN_WIDTH
1,0,,,,,,400
1,1,ITEM,Item,QUANTITY,,,66
1,2,ITEM,Item,QUANTITY_UOM_ID,,,66
1,3,ITEM,Item,TOTAL_QUANTITY,,,66
1,4,ITEM,Item,TOTAL_QUANTITY_UOM_ID,,,66
1,5,ITEM,Item,TOTAL_COST,,,100
1,6,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
1,7,ITEM,Item,TOTAL_COST_PER_UNIT,,,100
1,8,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
1,9,ITEM,Item,PRICE_FIXED_PORTION,,,100
1,10,ITEM,Item,TRANSACTION_CURRENCY_ID,,,66
1,11,ITEM,Item,PRICE_VARIABLE_PORTION,,,100
1,12,ITEM,Item,TRANSACTION_CURRENCY_ID,,,66
1,13,ITEM,Item,PRICE,,,100
1,14,ITEM,Item,TRANSACTION_CURRENCY_ID,,,66
1,15,ITEM,Item,PRICE_UNIT,,,66
1,16,ITEM,Item,PRICE_UNIT_UOM_ID,,,66
1,17,ITEM.PRICE_SOURCE,Price_Source,PRICE_SOURCE_DESCRIPTION,,,100
1,18,ITEM,Item,PRICE_FOR_TOTAL_QUANTITY,,,100
1,19,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,0,,,,,,400
2,1,ITEM,Item,QUANTITY,,,66
2,2,ITEM,Item,QUANTITY_UOM_ID,,,66
2,3,ITEM,Item,TOTAL_QUANTITY,,,66
2,4,ITEM,Item,TOTAL_QUANTITY_UOM_ID,,,66
2,5,ITEM,Item,TOTAL_COST,,,100
2,6,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,7,ITEM,Item,TOTAL_COST_PER_UNIT,,,100
2,8,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,9,ITEM,Item,PRICE_FIXED_PORTION,,,100
2,10,ITEM,Item,TRANSACTION_CURRENCY_ID,,,66
2,11,ITEM,Item,PRICE_VARIABLE_PORTION,,,100
2,12,ITEM,Item,TRANSACTION_CURRENCY_ID,,,66
2,13,ITEM,Item,PRICE,,,100
2,14,ITEM,Item,TRANSACTION_CURRENCY_ID,,,66
2,15,ITEM,Item,PRICE_UNIT,,,66
2,16,ITEM,Item,PRICE_UNIT_UOM_ID,,,66
2,17,ITEM.PRICE_SOURCE,Price_Source,PRICE_SOURCE_DESCRIPTION,,,100
2,18,ITEM,Item,PRICE_FOR_TOTAL_QUANTITY,,,100
2,19,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,20,,,,DMC,,100
2,21,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,22,,,,MOC,,100
2,23,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,24,,,,DPC,,100
2,25,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,26,,,,POC,,100
2,27,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,28,,,,COGM,,100
2,29,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,30,,,,SAO,,100
2,31,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,32,,,,COGS,,100
2,33,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,34,ITEM,Item,OTHER_COST,,,100
2,35,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
2,36,ITEM,Item,TOTAL_COST,,,100
2,37,ITEM.CALCULATION_VERSION,Calculation_Version,REPORT_CURRENCY_ID,,,66
3,0,ITEM,Item,ITEM_KEY,,,320
3,1,ITEM,Item,QUANTITY,,,320
3,2,ITEM,Item,QUANTITY_UOM_ID,,,320
3,3,ITEM,Item,TOTAL_QUANTITY,,,320
3,4,ITEM,Item,TOTAL_QUANTITY_UOM_ID,,,320
3,5,ITEM,Item,TOTAL_COST,,,320
3,6,ITEM,Item,TOTAL_COST_PER_UNIT,,,320
3,7,ITEM,Item,PRICE_FIXED_PORTION,,,320
3,8,ITEM,Item,PRICE_VARIABLE_PORTION,,,320
3,9,ITEM,Item,PRICE,,,320
3,10,ITEM,Item,TRANSACTION_CURRENCY_ID,,,320
3,11,ITEM,Item,PRICE_UNIT,,,320
3,12,ITEM,Item,PRICE_UNIT_UOM_ID,,,320
3,13,ITEM,Item,PRICE_FOR_TOTAL_QUANTITY,,,320
