PRICE_ID,PRICE_SOURCE_ID,CONTROLLING_AREA_ID,COST_CENTER_ID,ACTIVITY_TYPE_ID,PROJECT_ID,CUSTOMER_ID,VALID_FROM,VALID_TO,VALID_FROM_QUANTITY,VALID_TO_QUANTITY,PRICE_FIXED_PORTION,PRICE_VARIABLE_PORTION,TRANSACTION_CURRENCY_ID,PRICE_UNIT,PRICE_UNIT_UOM_ID,IS_PRICE_SPLIT_ACTIVE,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY,_VALID_FROM_FIRST_VERSION,_CREATED_BY_FIRST_VERSION
020000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC1,#AT1,*,*,2015-01-01,2999-12-31,1,,120,0,EUR,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
030000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC1,#AT2,*,*,2015-01-01,2999-12-31,1,,60,120,EUR,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
040000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC1,#AT3,*,*,2015-01-01,2999-12-31,1,,120,60,EUR,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
050000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC2,#AT1,*,*,2015-01-01,2999-12-31,1,,240,0,EUR,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
060000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC2,#AT2,*,*,2015-01-01,2999-12-31,1,,120,240,EUR,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
070000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC2,#AT3,*,*,2015-01-01,2999-12-31,1,,240,120,EUR,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
080000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC3,#AT1,*,*,2015-01-01,2999-12-31,1,,36,6,EUR,10,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
090000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC3,#AT2,*,*,2015-01-01,2999-12-31,1,,18,36,EUR,10,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0A0000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA1,#CC3,#AT3,*,*,2015-01-01,2999-12-31,1,,36,18,EUR,10,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
0B0000E0B2BDB9671600A4000936462B,PLC_STANDARD_PRICE,#CA2,*,*,*,*,2015-01-01,2015-12-31,1,,60,60,USD,1,H,0, 2000-01-01 00:00:00.0000000,,1,#CONTROLLER,2000-01-01 00:00:00.0000000,#CONTROLLER
