CONTROLLING_AREA_ID,MATERIAL_TYPE_ID,PLANT_ID,VALUATION_CLASS_ID,ACCOUNT_ID,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY
#CA1,*,#PT1,#VC3,#AC11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,*,#PT1,#VC2,#AC12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,*,#PT1,#VC1,#AC13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#RAW,#PT2,*,#AC11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#SEM,#PT2,*,#AC12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#FIN,#PT2,*,#AC13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#RAW,#PT3,#VC3,#AC11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#SEM,#PT3,#VC2,#AC12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#FIN,#PT3,#VC1,#AC13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#RAW,*,*,#AC11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#SEM,*,*,#AC12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA1,#FIN,*,*,#AC13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,*,#VC3,#AC11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,*,#VC2,#AC12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,*,#VC1,#AC13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,*,*,#AC10,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,#RAW,*,*,#AC14,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,#SEM,*,*,#AC15,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,#FIN,*,*,#AC16,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,#PT4,*,#AC17,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,#PT5,*,#AC18,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA2,*,#PT6,*,#AC19,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"","","",#AC01,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,"","",#AC02,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,"","",#AC03,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",#P11,"",#AC04,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",#P11,#V11,#AC05,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",#P11,*,#AC06,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,#P11,"",#AC07,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,#P11,#V11,#AC08,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,#P11,*,#AC09,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,#P11,"",#AC10,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,#P11,#V11,#AC11,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,#P11,*,#AC12,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",*,"",#AC13,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",*,#V11,#AC14,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",*,*,#AC15,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,*,"",#AC16,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,*,#V11,#AC17,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#RAW,*,*,#AC18,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,*,"",#AC19,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,*,#V11,#AC20,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,*,*,#AC21,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,*,#P13,"",#AC22,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,#SEM,*,"",#AC23,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",#P13,*,#AC24,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
#CA3,"",*,#V13,#AC25,2000-01-01 00:00:00.0000000,,1,#CONTROLLER
